Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Water Scarcity Level,Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%)
Russia,2007,402.92,57.9,Low,21.57,48.67,16.24,381.78,0.98
Canada,2022,746.11,328.64,High,46.46,12.91,34.33,2366.58,0.23
Brazil,2022,584.93,256.06,Medium,74.13,24.91,24.07,1375.86,3.15
France,2011,394.25,305.22,High,71.4,36.59,37.47,1276.18,2.83
China,2006,179.05,454.7,Medium,44.54,33.49,33.07,2769.07,2.36
Italy,2014,234.57,486.47,Medium,21.33,30.47,32.09,2976.7,1.05
Italy,2023,579.75,335.5,Low,58.18,19.7,13.06,2316.72,1.26
Brazil,2016,429.2,393.83,High,64.47,37.77,11.08,2398.52,4.8
Turkey,2003,519.78,87.71,Low,37.65,34.4,19.5,704.13,0.2
Russia,2021,178.97,122.32,Medium,48.6,12.33,16.52,657.45,1.88
USA,2024,666.28,379.94,Low,79.51,48.38,31.37,2943.98,0.29
South Africa,2012,854.01,244.11,Medium,54.58,30.01,23.52,2115.77,1.04
UK,2017,265.36,250.68,Medium,41.06,28.65,25.69,2091.46,4.67
UK,2000,496.6,188.87,High,57.65,43.17,34.41,929.95,0.83
Italy,2015,975.77,323.31,High,30.8,33.82,24.36,2670.79,3.04
Japan,2012,339.91,133.32,High,31.96,8.35,26.35,228.88,1.8
South Korea,2009,599.1,332.11,High,75.5,27.8,35.27,896.31,3.2
Germany,2011,99.29,128.21,Low,34.35,40.13,22.94,622.41,4.28
Turkey,2001,609.95,78.72,High,38.65,36.5,12.49,2162.18,1.5
Germany,2022,98.74,198.66,High,52.63,48.68,25.65,2174.51,0.49
Australia,2002,959.64,154.01,High,73.98,6.12,27.38,1650.72,1.1
USA,2009,718.51,450.05,Medium,66.89,16.75,25.35,115.25,2.25
Australia,2001,790.28,74.73,Medium,22.63,29.71,17.74,2633.89,2.62
Germany,2022,707.06,129.48,High,61.58,32.88,16.71,2871.2,4.72
Italy,2012,593.83,296.92,Medium,50.24,17.35,21.09,686.71,0.18
Russia,2012,455.41,266.48,Medium,48.53,42.21,14.99,2542.47,3.81
Canada,2017,859.79,70.63,Low,61.49,12.4,29.98,2922.53,0.46
Italy,2002,957.27,53.26,Medium,31.77,5.04,28.44,1048.22,0.48
USA,2006,504.05,494.63,Low,78.89,47.86,28.97,636.66,3.31
France,2013,932.22,346.48,Medium,58.72,22.62,16.74,2934.87,4.55
Indonesia,2019,587.5,214.43,High,41.94,48.09,17.4,273.26,1.51
China,2016,543.0,261.69,Medium,56.01,17.51,33.62,900.29,1.42
Spain,2020,459.94,169.95,Medium,32.99,7.86,30.7,2251.88,3.13
Russia,2011,217.19,205.19,Low,58.03,39.76,36.26,1890.33,3.9
Italy,2024,13.68,342.07,High,21.69,42.61,22.11,2085.08,4.36
Turkey,2015,249.09,447.27,Low,40.47,27.14,26.42,2153.47,1.32
India,2023,514.63,132.86,High,64.85,8.32,32.16,2089.82,3.73
Russia,2011,386.16,428.16,High,68.48,34.44,39.22,1092.5,1.61
France,2014,454.0,104.7,Low,35.18,13.2,39.69,1003.35,2.77
Turkey,2024,980.84,146.75,Medium,52.36,43.22,39.98,1342.55,1.04
Italy,2009,356.77,66.73,High,51.71,17.33,36.72,2442.28,0.82
UK,2024,457.66,113.37,Medium,45.29,43.15,29.19,2820.99,4.68
Germany,2006,142.18,462.79,Low,33.71,24.21,10.21,1420.21,2.78
USA,2019,57.48,256.75,Low,62.19,31.84,30.99,348.72,0.12
Italy,2004,777.66,84.95,Low,35.14,40.53,17.16,2821.07,3.99
France,2000,574.98,481.88,Low,74.66,6.82,11.72,333.24,3.49
Brazil,2016,763.1,445.55,High,51.71,41.95,30.92,561.42,1.7
Turkey,2002,158.36,389.61,Low,72.23,11.24,32.68,2616.27,2.37
Brazil,2012,576.11,470.06,Medium,37.44,21.13,29.78,1699.29,2.3
Argentina,2013,261.11,149.06,Medium,68.42,26.28,20.96,1122.79,1.45
China,2023,235.78,426.37,High,26.82,45.29,25.33,2799.64,4.9
China,2017,21.41,360.5,Low,66.01,6.01,38.05,2885.47,2.77
Italy,2003,139.04,441.39,High,43.22,30.16,31.89,1059.21,4.5
UK,2017,316.18,408.61,High,48.2,33.91,25.14,2618.43,2.97
Australia,2004,125.71,205.92,High,30.01,19.25,27.8,2067.73,3.48
Saudi Arabia,2024,986.0,398.48,Low,21.12,18.07,37.83,896.02,0.24
Mexico,2015,315.55,168.11,Medium,59.97,27.07,21.81,2830.15,2.61
Russia,2000,139.02,197.87,Medium,55.26,13.42,13.06,282.9,3.63
South Korea,2020,207.09,98.56,High,57.35,26.07,19.77,1022.03,0.7
Argentina,2013,591.83,470.78,High,35.3,39.43,22.46,1249.16,3.42
Canada,2014,73.4,180.95,Medium,34.36,43.04,18.19,2102.89,0.51
South Africa,2008,863.81,284.28,Medium,69.82,22.33,25.87,211.46,4.05
Germany,2014,961.88,226.1,Low,65.68,32.78,19.15,2680.35,4.89
Germany,2016,254.28,481.97,High,40.21,5.0,13.1,2011.4,3.17
Australia,2024,455.59,200.77,Low,58.27,29.77,15.64,897.57,0.48
Australia,2023,31.91,400.35,Medium,69.69,48.89,37.54,2009.19,2.98
Russia,2003,644.3,434.94,Medium,73.33,19.05,28.89,1657.08,3.73
Indonesia,2011,419.79,246.02,Medium,20.35,31.76,19.43,1075.2,4.67
Russia,2004,277.36,220.18,Medium,68.81,39.3,21.01,182.93,0.32
Indonesia,2004,214.77,386.49,Low,41.02,32.4,24.8,1698.19,3.9
India,2010,657.48,460.8,Medium,63.1,23.83,30.19,338.33,0.75
South Korea,2005,422.05,389.72,High,42.28,11.87,27.47,2449.51,3.97
Australia,2006,187.86,152.21,Medium,56.37,25.87,37.98,356.72,4.45
Indonesia,2023,692.22,449.74,High,58.81,18.27,28.77,1343.34,4.32
India,2013,569.42,224.41,Medium,44.3,36.32,37.32,1360.2,3.3
UK,2023,860.09,309.3,Low,50.77,24.89,10.16,1712.98,2.55
Italy,2010,126.3,424.15,High,63.58,43.24,36.72,214.57,4.39
Indonesia,2012,787.81,134.78,Low,48.58,13.7,31.64,691.11,2.64
UK,2001,676.78,403.03,Medium,20.84,23.8,15.17,678.55,1.03
South Africa,2024,123.86,318.27,Low,20.77,30.09,17.89,1837.01,4.72
South Korea,2006,697.87,452.0,Medium,59.68,10.67,26.28,864.54,1.93
India,2019,447.13,127.39,Low,70.83,31.46,13.75,518.17,3.16
Japan,2003,945.53,239.31,Low,67.12,18.09,33.56,153.22,1.08
Japan,2007,150.2,424.78,High,38.62,15.33,33.74,2537.58,0.64
Spain,2019,646.41,58.65,Medium,48.27,11.39,19.03,2917.49,2.8
Indonesia,2021,388.16,100.49,Low,34.05,20.74,12.09,2139.46,2.82
Brazil,2020,957.25,495.75,Medium,79.35,46.8,39.67,1296.87,1.91
South Korea,2018,336.68,176.18,High,35.63,6.4,17.52,453.83,1.63
India,2012,962.56,488.99,Low,44.98,43.35,12.03,1477.8,1.93
South Africa,2013,902.47,132.14,Medium,60.87,22.88,19.9,1426.23,4.0
Japan,2009,277.68,212.49,Low,72.56,30.27,39.07,1317.64,1.85
Saudi Arabia,2010,805.51,388.79,Low,23.09,28.08,33.79,1197.08,4.61
South Africa,2001,995.65,346.0,Low,38.06,46.66,24.41,1540.59,0.65
India,2024,260.14,311.51,Low,54.14,39.66,19.16,312.22,4.66
Saudi Arabia,2008,442.41,288.45,High,57.1,49.32,22.7,211.05,3.48
Canada,2016,524.98,429.55,High,24.2,40.75,10.52,285.48,1.79
Mexico,2002,301.98,155.73,Medium,59.84,18.31,31.55,680.0,0.13
South Africa,2023,25.11,249.11,Medium,51.68,48.33,12.99,906.4,4.03
Russia,2005,227.93,119.95,Low,69.66,49.26,25.57,591.43,4.85
Indonesia,2004,289.12,318.17,Low,33.33,10.54,26.98,830.56,4.91
Russia,2004,449.16,162.74,Low,31.7,45.55,10.05,638.93,2.17
UK,2021,179.39,200.23,High,67.6,34.89,39.4,537.16,0.45
China,2014,874.52,262.06,Low,62.23,46.49,19.06,949.65,1.64
Canada,2022,707.86,62.05,Medium,67.5,46.21,12.32,1252.79,1.62
Argentina,2016,94.35,91.37,Low,66.92,45.11,35.63,2258.37,0.6
Germany,2008,653.59,358.67,High,26.24,44.84,14.56,2871.09,2.67
Italy,2002,657.12,243.04,Low,36.71,10.29,10.75,2765.0,3.06
USA,2019,956.66,439.16,High,35.61,11.46,24.84,1480.21,3.67
Australia,2016,12.99,362.6,High,76.08,10.3,13.9,1437.9,0.35
France,2009,255.45,53.65,High,49.25,9.1,39.47,464.52,1.45
Saudi Arabia,2002,928.51,327.52,High,26.66,20.9,10.31,2918.05,1.84
Mexico,2017,932.81,92.18,Medium,37.37,35.78,11.54,2304.28,4.47
Japan,2017,723.38,401.42,High,72.31,20.96,35.0,2557.95,4.52
Argentina,2016,768.11,496.18,Medium,70.82,37.41,17.19,779.07,1.37
Turkey,2023,100.57,289.04,Medium,74.02,41.91,37.35,1263.15,2.49
Italy,2002,518.74,357.25,Low,43.31,34.98,19.33,397.67,2.18
Argentina,2002,239.27,156.79,Low,58.48,25.93,12.09,2828.36,2.68
Mexico,2005,189.41,246.92,High,36.69,18.3,10.32,928.9,1.5
Saudi Arabia,2012,812.2,435.24,Low,30.85,10.6,18.48,1828.43,2.37
Mexico,2023,143.69,125.34,High,21.31,27.21,24.21,541.44,0.81
Canada,2014,473.97,169.49,Low,33.41,37.38,10.03,2428.11,3.58
Brazil,2024,939.19,250.45,High,56.26,29.67,27.43,640.4,1.91
France,2008,193.97,370.51,Low,74.25,37.47,20.01,2447.21,2.76
UK,2003,978.21,219.15,Low,28.01,20.08,21.7,1265.11,3.06
Indonesia,2013,994.35,467.48,Medium,75.08,8.01,17.84,1775.5,4.2
Germany,2004,560.06,92.51,Low,40.72,39.7,25.87,882.16,0.5
France,2001,178.44,216.86,Low,45.61,14.89,16.9,2660.05,2.47
Turkey,2010,322.94,369.03,High,41.9,32.73,14.04,2303.62,4.48
South Africa,2008,430.25,151.69,Medium,44.52,41.19,36.72,1127.39,1.72
France,2023,316.23,345.39,High,35.55,11.26,21.72,1797.56,2.28
Mexico,2002,287.83,123.9,Low,61.92,31.93,12.31,474.07,0.52
Turkey,2008,972.51,75.19,High,65.49,36.02,16.91,565.37,3.78
South Korea,2002,161.83,104.46,Medium,69.39,38.59,19.3,1647.67,0.52
Indonesia,2024,735.99,468.49,High,40.48,11.64,33.09,1957.74,3.19
Canada,2001,10.41,298.29,Low,65.88,42.13,10.67,1716.55,1.93
Japan,2011,600.22,408.36,High,58.26,9.24,24.35,1722.28,1.76
Spain,2009,916.78,199.69,Low,77.47,28.38,22.23,2252.64,2.97
USA,2008,295.05,316.7,Medium,45.49,24.95,39.05,2716.98,2.88
Brazil,2014,193.67,272.73,Medium,79.54,14.98,15.4,1224.03,2.09
Mexico,2007,655.16,475.58,High,64.42,18.59,28.84,1657.11,1.46
China,2024,715.48,386.41,Medium,66.58,12.4,16.07,2689.77,2.59
Saudi Arabia,2004,691.15,378.74,High,21.54,24.16,26.45,1446.41,1.41
India,2010,326.12,70.86,Low,49.84,6.6,26.65,1390.93,0.6
Japan,2001,259.68,297.35,High,51.7,45.0,12.26,2322.89,4.02
UK,2023,956.36,260.15,Low,22.44,12.36,23.69,2644.17,3.54
Saudi Arabia,2014,924.07,467.53,Medium,38.73,44.87,23.83,2239.25,0.51
Saudi Arabia,2005,462.74,165.8,Low,77.34,43.86,19.57,390.36,0.9
Russia,2007,847.73,171.43,Low,45.57,25.33,18.31,1447.84,0.59
South Africa,2004,457.8,235.11,Low,31.2,27.4,16.73,714.71,3.97
South Africa,2015,430.15,159.52,Low,50.8,18.59,10.18,1020.31,3.89
Germany,2017,165.2,108.13,Low,22.03,49.86,10.05,1459.39,2.1
Spain,2005,432.14,435.84,High,50.96,35.18,27.69,742.43,4.12
Turkey,2004,542.04,301.22,Low,55.66,47.83,18.74,1596.21,4.87
Indonesia,2015,32.28,437.61,Low,41.46,23.67,15.04,1965.5,4.86
Turkey,2012,449.67,424.01,Low,65.75,44.74,30.54,2637.21,4.91
China,2004,783.54,176.92,Low,28.14,25.17,25.87,713.24,4.25
Australia,2012,683.25,296.48,Low,72.69,44.01,37.45,1000.64,1.16
South Africa,2016,638.81,87.45,Low,77.33,10.89,34.93,1276.82,0.38
Turkey,2017,910.46,461.86,Medium,20.07,33.66,31.8,751.19,4.08
Indonesia,2007,27.85,231.92,High,70.56,35.54,13.8,1062.92,1.61
Italy,2012,561.48,227.15,Low,50.37,34.53,29.98,2661.72,1.75
Indonesia,2018,789.48,186.24,High,47.68,25.12,30.82,502.1,0.46
South Africa,2002,545.92,257.3,Medium,34.32,35.78,32.9,1386.87,3.6
Turkey,2023,330.66,163.29,Medium,46.84,15.78,17.89,1001.8,2.21
Indonesia,2007,144.89,218.68,Low,77.03,31.81,29.21,323.78,1.1
France,2001,888.69,409.98,High,32.65,29.94,28.55,378.76,3.3
South Korea,2007,476.05,425.41,Low,30.74,19.33,21.56,2376.15,4.9
India,2012,879.33,186.88,Medium,34.51,40.05,29.91,2571.77,2.54
Russia,2012,589.99,261.06,Medium,53.11,8.64,12.6,2250.08,3.07
Mexico,2000,677.45,443.22,High,75.82,12.71,29.31,1663.76,0.9
Mexico,2005,806.22,73.7,Low,54.43,26.2,28.18,2340.71,0.89
South Africa,2023,662.56,450.12,High,34.61,45.13,16.32,540.85,2.35
Italy,2018,404.07,148.63,High,46.43,30.88,34.55,2362.58,4.24
Canada,2015,518.5,355.34,Medium,43.42,42.89,36.23,1328.08,4.55
USA,2007,805.02,312.15,High,22.79,28.29,16.31,2275.92,3.24
South Korea,2000,379.91,298.82,Medium,50.64,40.35,12.28,760.47,1.87
France,2015,394.24,436.71,Low,27.56,19.66,28.11,2514.38,3.78
South Korea,2008,104.73,95.71,High,70.53,41.68,24.4,1747.54,1.53
Turkey,2012,915.44,206.16,High,52.94,23.08,22.83,121.28,1.18
Italy,2010,100.13,292.21,Low,70.68,30.15,32.83,1605.87,4.0
USA,2012,651.73,415.08,High,77.36,12.91,39.09,999.81,3.78
South Korea,2024,419.06,147.4,Low,76.59,46.42,24.33,266.76,4.42
Spain,2020,411.56,411.32,Medium,26.03,36.57,10.18,1397.2,2.92
Argentina,2009,682.76,229.84,Medium,76.69,43.65,27.89,1003.26,4.49
Germany,2003,76.42,135.01,High,67.74,14.35,29.62,692.73,0.23
India,2005,597.77,391.54,Medium,66.66,8.05,34.84,1112.45,1.34
China,2006,774.31,90.9,Medium,25.41,20.17,15.98,620.86,4.04
India,2004,829.93,281.65,Low,30.77,28.25,25.73,969.45,2.18
Japan,2010,178.83,78.74,Medium,78.51,41.11,23.41,434.47,1.27
Saudi Arabia,2012,898.44,210.39,Medium,32.8,22.9,29.93,344.51,4.0
UK,2024,659.58,320.48,Medium,30.14,17.15,11.92,2739.06,4.13
South Africa,2018,883.04,300.25,Low,41.74,21.76,36.52,2718.02,2.34
Saudi Arabia,2022,490.43,232.09,High,74.8,36.66,25.33,2501.22,2.39
Saudi Arabia,2009,546.61,243.07,Low,48.57,20.13,36.31,767.94,3.93
India,2009,919.85,152.05,High,75.24,49.06,20.21,2205.08,3.88
South Africa,2010,900.91,255.15,High,40.06,12.87,29.61,1810.17,4.35
Mexico,2020,453.68,478.96,Medium,33.59,38.89,38.7,248.58,3.26
Japan,2006,281.67,432.7,Medium,49.71,31.51,38.3,2708.8,1.01
Italy,2017,399.24,115.35,Low,56.93,15.49,38.32,2994.15,2.79
Japan,2003,393.89,63.4,Low,43.49,38.91,11.29,2155.29,1.97
Canada,2001,294.0,470.09,Low,40.76,25.14,22.09,771.37,0.23
USA,2013,275.89,287.04,Medium,33.08,35.71,11.82,1707.79,1.06
UK,2012,862.45,292.03,High,36.5,34.8,19.28,417.2,1.11
South Korea,2011,79.16,401.32,Low,60.39,9.98,15.24,966.46,0.5
France,2006,680.84,191.61,High,42.19,42.8,28.6,2180.04,2.32
France,2001,181.09,266.86,Medium,24.79,35.67,33.42,973.12,2.59
South Africa,2012,351.06,485.9,Medium,28.29,40.13,25.4,526.9,1.77
France,2013,70.93,352.47,Medium,42.34,25.15,33.86,121.67,2.12
Turkey,2016,277.27,119.19,Medium,75.47,13.78,10.38,1760.29,2.79
Indonesia,2008,770.74,109.95,High,42.74,19.68,34.61,2909.14,0.69
USA,2016,886.17,141.92,High,23.64,45.57,15.35,1503.99,2.86
Russia,2007,229.31,395.02,Low,45.08,47.21,23.83,716.57,3.58
South Africa,2001,468.91,182.92,High,60.13,26.68,23.28,1443.51,4.39
Italy,2023,475.62,59.62,High,55.62,18.45,36.19,1846.04,1.58
Turkey,2012,874.84,474.88,High,36.73,37.86,38.98,2423.97,3.76
South Korea,2002,765.17,126.37,Low,61.29,39.47,17.65,1412.77,3.07
Indonesia,2015,517.95,54.3,High,57.84,41.7,12.02,601.56,2.56
Japan,2005,674.04,156.71,High,30.33,6.4,29.52,645.23,4.61
South Korea,2018,848.88,155.76,High,29.73,5.44,25.09,2709.21,3.14
Australia,2006,19.44,239.9,Medium,52.83,21.07,26.97,785.1,1.89
Russia,2009,408.86,464.18,High,59.57,11.86,11.39,2211.25,3.59
Turkey,2008,908.17,445.63,Low,77.71,41.22,33.26,879.95,4.8
Saudi Arabia,2001,742.91,255.6,Low,45.32,28.98,16.97,2189.63,4.6
Spain,2014,547.41,234.9,Low,65.9,42.14,20.05,327.25,4.9
UK,2004,534.35,299.75,Low,26.99,12.96,16.85,701.44,0.57
Canada,2021,354.29,159.55,Medium,73.38,33.23,38.38,1285.23,2.27
South Africa,2003,525.32,73.48,Low,57.99,31.11,15.06,1594.42,2.22
Japan,2019,658.83,472.65,Medium,57.74,20.32,31.97,1123.56,1.98
Saudi Arabia,2003,424.18,134.01,Medium,28.55,28.27,17.37,1763.2,0.97
South Africa,2017,717.01,139.28,Medium,22.38,31.51,22.75,1043.57,4.18
South Africa,2003,862.62,262.61,Low,62.09,45.03,39.88,2067.47,3.4
Argentina,2016,163.14,271.23,Low,27.02,7.5,13.02,1582.5,3.07
Spain,2011,457.03,58.3,Medium,27.62,42.05,36.44,2144.82,2.29
Germany,2021,413.94,116.58,Medium,31.25,49.11,38.38,1349.84,2.0
Argentina,2016,690.59,220.17,Low,25.86,37.93,30.95,2641.85,3.95
Canada,2009,257.37,357.68,High,57.52,38.18,10.3,1208.19,2.68
China,2021,643.85,152.79,High,45.32,14.81,34.62,993.59,3.08
Turkey,2000,878.71,240.36,High,35.97,28.54,36.47,1715.55,0.59
Canada,2021,423.95,300.81,Low,46.44,36.77,39.43,1576.6,2.41
UK,2023,911.91,449.87,Low,70.65,32.1,35.18,1602.48,0.74
France,2017,993.23,196.73,Medium,75.62,22.33,23.37,2408.78,0.36
UK,2017,115.03,110.1,Low,49.25,47.31,30.66,1806.93,3.48
UK,2013,240.72,270.17,Low,54.01,28.13,24.55,2667.27,1.45
South Africa,2014,950.88,386.02,Low,35.43,48.64,20.59,1895.38,4.83
France,2011,958.74,99.44,Medium,50.82,30.37,28.79,162.93,3.07
Mexico,2003,106.73,241.11,Medium,64.89,40.7,33.09,2624.14,3.26
China,2002,24.85,58.0,High,49.53,38.39,29.08,2535.38,1.06
Japan,2019,169.49,65.1,High,38.12,34.74,34.8,241.66,0.73
India,2011,996.05,267.33,Low,54.92,5.65,15.29,463.32,2.67
India,2006,188.2,184.19,Low,76.8,8.48,21.21,1713.43,4.64
USA,2010,507.52,430.3,Medium,73.28,31.17,19.38,224.27,0.37
South Korea,2000,849.93,320.97,High,66.15,46.03,15.82,1292.39,2.59
Turkey,2005,30.2,254.27,High,36.57,32.05,23.3,2928.55,1.07
Argentina,2014,608.44,233.57,High,34.49,15.62,38.44,601.05,3.93
Spain,2014,284.26,273.76,Low,70.31,19.41,26.14,697.68,3.44
South Africa,2018,863.71,68.2,Low,30.88,33.04,18.59,2061.41,0.58
India,2010,290.63,451.76,Low,56.34,31.87,20.62,227.54,3.12
USA,2022,689.89,499.24,Medium,46.34,48.01,28.39,2479.99,4.92
Brazil,2001,677.48,131.67,High,48.08,28.81,20.58,677.19,2.69
South Africa,2013,229.28,104.17,Medium,47.27,20.98,26.15,1641.51,1.5
Argentina,2001,44.45,114.61,High,74.0,28.62,18.22,821.41,0.85
France,2003,415.16,347.46,Low,25.23,40.38,20.38,2010.76,4.95
China,2016,296.3,347.65,Medium,66.97,29.32,31.17,1802.93,2.86
Saudi Arabia,2002,810.89,431.57,Medium,70.1,19.67,27.54,2844.68,1.94
China,2012,802.36,388.32,Low,76.57,20.24,12.8,1392.24,1.15
South Korea,2008,462.45,252.36,High,47.16,39.06,39.2,2637.15,4.76
South Korea,2006,610.45,325.78,High,50.0,7.99,11.48,1769.88,3.17
Saudi Arabia,2014,608.22,359.73,High,77.68,17.36,12.49,2751.94,0.38
South Korea,2022,828.89,280.73,High,47.51,11.89,31.04,946.28,0.39
Canada,2010,430.75,264.04,Low,50.21,47.51,31.24,1694.31,4.7
USA,2019,282.69,340.29,Low,39.94,9.05,10.57,1231.09,3.58
Australia,2001,272.38,300.86,Low,21.9,39.12,29.28,291.1,0.61
South Korea,2014,540.83,339.77,Low,45.98,33.37,11.0,1765.37,3.16
USA,2013,454.66,325.78,Medium,59.31,33.48,38.82,2403.26,2.16
China,2019,445.72,373.64,Medium,61.4,39.35,30.88,1712.99,3.96
Saudi Arabia,2021,100.23,339.26,Medium,20.39,23.02,15.6,910.09,1.44
Italy,2010,721.42,283.88,Low,68.06,23.03,14.74,865.1,1.98
Japan,2002,221.6,356.81,High,49.54,17.99,27.09,789.73,0.92
Turkey,2016,204.98,252.27,Medium,51.24,31.9,29.01,2940.93,1.34
China,2011,418.63,158.75,Medium,77.7,46.84,34.94,1257.74,1.03
South Africa,2023,235.5,50.64,Low,37.07,46.58,37.1,1018.92,0.22
UK,2020,588.02,301.98,High,65.7,36.63,21.78,1313.56,0.33
UK,2014,377.75,315.79,High,54.49,45.78,35.32,435.81,4.19
Canada,2015,454.42,487.42,High,62.05,48.36,26.27,668.46,4.04
Saudi Arabia,2004,541.8,212.67,Low,45.07,40.78,24.12,1575.82,0.79
France,2019,211.5,227.36,High,36.75,23.35,30.97,2416.66,3.37
Russia,2005,164.19,140.81,Medium,52.77,26.75,13.1,2641.64,3.75
Australia,2018,881.62,81.74,Medium,42.5,46.91,17.96,2611.36,0.35
Australia,2024,439.39,397.76,Medium,33.37,35.15,34.5,2839.78,0.53
Spain,2004,417.97,162.36,Low,70.35,41.93,25.12,464.74,2.86
Turkey,2002,45.26,324.01,High,48.55,10.23,37.24,218.81,1.93
Spain,2000,503.0,359.5,Low,70.84,13.73,12.66,406.62,3.53
Canada,2005,558.63,262.06,High,48.44,20.48,19.4,1842.15,2.83
Indonesia,2014,563.25,444.36,Low,53.41,13.47,20.67,1712.75,0.25
Brazil,2001,709.96,249.71,Medium,79.72,45.79,22.68,2046.51,3.45
Japan,2002,185.71,178.21,Low,77.09,14.76,39.6,1176.16,1.1
Canada,2016,259.7,453.21,Low,36.3,30.07,19.32,1235.61,1.63
South Africa,2024,812.62,437.7,Low,72.12,8.85,25.56,1682.17,3.71
Canada,2023,947.7,123.82,Medium,43.42,11.97,26.08,329.26,3.88
Brazil,2011,144.57,61.68,Low,24.27,16.13,33.12,2419.63,1.79
Argentina,2017,502.67,90.49,Low,54.55,49.23,25.54,2776.28,0.54
Saudi Arabia,2014,222.03,178.95,Medium,78.62,40.87,28.17,1223.3,3.87
Indonesia,2011,69.47,487.52,High,78.46,35.31,32.6,2244.76,4.36
India,2015,332.25,301.33,Low,27.59,46.23,13.03,1691.62,4.83
Spain,2007,152.25,217.97,Medium,66.27,48.03,38.9,784.42,1.66
Germany,2013,712.83,449.92,Low,68.17,25.41,35.39,296.61,0.71
Germany,2024,538.39,253.91,Medium,42.12,19.75,21.66,813.11,4.69
Spain,2016,152.4,191.86,High,59.52,19.19,31.85,1854.23,2.06
Indonesia,2020,19.15,473.55,High,49.29,6.61,32.87,216.67,0.56
Turkey,2007,810.08,432.28,Low,33.67,17.58,35.51,2524.95,2.54
Indonesia,2014,184.43,429.65,Medium,65.68,20.98,15.65,2913.89,1.03
China,2013,610.15,280.53,High,35.77,6.66,31.11,342.16,1.84
South Africa,2017,343.55,405.25,High,40.43,44.72,11.0,815.42,1.67
Brazil,2019,589.63,130.71,Medium,31.4,43.15,13.47,2059.34,4.94
Australia,2006,322.5,307.95,Low,63.16,16.32,33.28,2437.63,3.23
South Africa,2002,96.07,492.73,High,47.52,41.12,34.39,1103.38,2.51
Australia,2011,230.72,180.93,High,46.6,40.83,27.77,1594.19,2.62
Canada,2020,196.18,407.46,High,56.27,20.08,27.45,2686.1,3.06
Japan,2023,433.74,270.72,Low,29.44,36.37,32.49,1214.76,4.38
India,2002,661.7,67.91,High,73.89,18.04,37.18,336.46,0.82
Saudi Arabia,2019,271.17,393.36,Medium,47.91,8.16,22.63,2985.19,3.04
Mexico,2013,21.95,125.86,Low,41.99,27.72,13.44,622.81,1.68
Canada,2014,523.75,334.16,High,27.6,24.72,35.17,241.47,2.9
France,2024,609.7,88.55,Medium,30.08,11.22,20.25,1290.9,2.64
India,2013,963.24,476.09,Medium,75.22,27.07,14.01,452.24,0.25
Germany,2006,593.58,181.28,Low,47.4,47.72,28.44,2938.33,2.95
Australia,2016,476.46,151.91,Medium,63.33,37.91,27.34,1204.3,3.58
South Africa,2011,577.67,108.11,Low,24.83,38.25,24.23,2494.85,1.31
Brazil,2019,928.62,475.7,Low,58.61,39.09,35.79,612.16,0.62
South Africa,2003,830.09,370.36,Low,75.29,38.51,18.17,502.56,1.14
Italy,2008,329.75,383.75,Medium,38.0,5.9,10.4,1982.95,3.22
Germany,2005,244.88,274.73,Low,54.75,46.61,19.7,2737.0,2.4
Australia,2015,270.01,263.63,Low,76.41,42.36,10.29,432.16,4.34
Canada,2024,509.38,99.51,Medium,63.16,17.36,26.31,1808.84,1.5
Spain,2021,746.61,301.93,Low,23.74,29.87,21.35,346.32,1.89
Russia,2021,508.19,161.11,High,42.72,32.68,34.42,2455.27,2.69
China,2020,77.12,489.72,Medium,25.15,10.94,33.93,2736.99,2.35
Russia,2020,726.34,408.46,Medium,71.68,16.43,23.04,1923.5,2.78
Japan,2001,807.91,235.85,Medium,57.3,6.05,16.49,2096.19,1.63
Russia,2023,296.6,118.1,High,77.38,43.88,22.67,260.77,0.92
Mexico,2007,667.48,403.4,Low,21.19,6.12,29.24,311.63,4.04
South Korea,2010,432.33,104.92,Medium,45.39,19.34,15.71,621.04,0.29
Germany,2012,890.23,135.2,Medium,26.26,8.52,33.19,894.1,1.91
Turkey,2016,846.77,145.18,Medium,41.03,40.16,19.92,2303.58,0.53
Spain,2007,530.18,300.6,High,29.71,46.62,37.97,1362.74,3.71
Italy,2020,694.59,404.18,High,39.73,30.33,25.36,326.92,1.89
Argentina,2017,884.52,191.44,High,69.16,11.28,35.41,2572.67,0.25
South Africa,2017,500.76,88.1,Low,29.64,30.12,28.48,2982.1,0.47
China,2013,320.12,259.04,Low,48.42,39.67,26.64,1419.58,1.07
South Africa,2014,756.13,386.65,High,75.29,37.33,30.46,1584.12,3.96
Russia,2005,227.87,149.75,Low,79.93,38.38,34.34,327.68,4.02
Australia,2010,394.65,148.97,High,35.04,17.56,29.34,1210.75,4.98
UK,2012,867.07,476.25,Low,76.13,8.32,33.92,1178.23,1.28
India,2024,727.18,479.37,Low,35.68,11.7,15.71,2900.8,0.4
India,2000,409.77,495.71,High,44.81,48.0,18.33,2015.25,1.49
Turkey,2005,222.6,413.45,Medium,72.68,32.61,16.89,2368.33,0.98
